rank_num,movie_name,actors,release_time,score
53,断背山,"主演：希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",上映时间：2005-09-02(意大利),8.9
54,少年派的奇幻漂流,"主演：苏拉·沙玛,伊尔凡·可汗,塔布",上映时间：2012-11-22,9.0
55,神偷奶爸,"主演：史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德",上映时间：2010-06-20(俄罗斯),8.9
56,致命魔术,"主演：休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",上映时间：2006-10-17(意大利),8.8
57,无敌破坏王,"主演：约翰·C·赖利,萨拉·西尔弗曼,简·林奇",上映时间：2012-11-06,9.1
58,鬼子来了,"主演：姜文,姜宏波,陈强",上映时间：2000-05-13(法国),8.9
59,美丽心灵,"主演：罗素·克洛,詹妮弗·康纳利,艾德·哈里斯",上映时间：2001-12-13(美国),8.8
60,蝙蝠侠：黑暗骑士崛起,"主演：克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼",上映时间：2012-08-27,8.9
61,甜蜜蜜,"主演：黎明,张曼玉,曾志伟",上映时间：2015-02-13,9.2
62,哈利·波特与死亡圣器（下）,"主演：丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",上映时间：2011-08-04,9.0
63,倩女幽魂,"主演：张国荣,王祖贤,午马",上映时间：2011-04-30,9.2
64,夜访吸血鬼,"主演：汤姆·克鲁斯,布拉德·皮特,克尔斯滕·邓斯特",上映时间：1994-11-11(美国),8.8
65,本杰明·巴顿奇事,"主演：布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",上映时间：2008-12-25(美国),8.8
66,钢琴家,"主演：艾德里安·布洛迪,艾米丽雅·福克斯,米哈乌·热布罗夫斯基",上映时间：2002-05-24(法国),8.8
67,触不可及,"主演：弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",上映时间：2011-11-02(法国),9.1
68,小鞋子,"主演：默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi",上映时间：1997(伊朗),9.0
69,新龙门客栈,"主演：张曼玉,梁家辉,甄子丹",上映时间：2012-02-24,8.8
70,大话西游之大圣娶亲,"主演：周星驰,朱茵,莫文蔚",上映时间：2014-10-24,8.8
71,初恋这件小事,"主演：马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考",上映时间：2012-06-05,8.8
72,熔炉,"主演：孔刘,郑有美,金智英",上映时间：2011-09-22(韩国),8.8
73,素媛,"主演：李来,薛耿求,严志媛",上映时间：2013-10-02(韩国),9.0
74,萤火之森,"主演：内山昂辉,佐仓绫音,后藤弘树",上映时间：2011-09-17(日本),9.0
75,穿条纹睡衣的男孩,"主演：阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",上映时间：2008-08-28(英国),9.0
76,教父,"主演：马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩",上映时间：2015-04-18,9.3
77,窃听风暴,"主演：乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",上映时间：2006-03-23(德国),9.0
78,7号房的礼物,"主演：柳承龙,郑镇荣,朴信惠",上映时间：2013-01-23(韩国),8.9
79,时空恋旅人,"主演：瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",上映时间：2013-09-04(英国),8.8
80,借东西的小人阿莉埃蒂,"主演：志田未来,神木隆之介,大竹忍",上映时间：2010-07-17(日本),8.8
81,恐怖直播,"主演：河正宇,李璟荣,李大为",上映时间：2013-07-31(韩国),8.8
82,英雄本色,"主演：狄龙,张国荣,周润发",上映时间：2017-11-17,9.2
83,海豚湾,"主演：里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯",上映时间：2009-07-31(美国),8.9
84,忠犬八公物语,"主演：仲代达矢,春川真澄,井川比佐志",上映时间：1987-08-01(日本),9.0
85,辩护人,"主演：宋康昊,郭度沅,吴达洙",上映时间：2013-12-18(韩国),8.8
86,完美的世界,"主演：凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟",上映时间：1993-11-24(美国),8.9
87,上帝之城,"主演：亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺",上映时间：2002-05-18(戛纳电影节),8.9
88,美国往事,"主演：罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",上映时间：2015-04-23,9.1
