数据由python量化入门课程提供
股票代码,股票名称,交易日期,新浪概念,收盘价,涨跌幅,成交量,MACD_金叉死叉
sz000002,万科Ａ,21/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.25,-0.0266,81870576,
sz000002,万科Ａ,20/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.94,0.004259,89241935,
sz000002,万科Ａ,19/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.83,-0.006538,60460544,
sz000002,万科Ａ,18/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26,0,64177355,死叉
sz000002,万科Ａ,17/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26,-0.031297,92915134,
sz000002,万科Ａ,14/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.84,0.001119,91514322,
sz000002,万科Ａ,13/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.81,0.007895,101557433,
sz000002,万科Ａ,12/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.6,0.014106,87775400,
sz000002,万科Ａ,11/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.23,0.010012,150728616,
sz000002,万科Ａ,10/10/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.97,-0.007642,143551183,
sz000002,万科Ａ,30/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,26.17,0.006926,135841060,
sz000002,万科Ａ,29/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.99,0.007364,128298586,
sz000002,万科Ａ,28/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.8,0.026253,156409060,
sz000002,万科Ａ,27/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.14,0.018639,155341790,
sz000002,万科Ａ,26/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.68,-0.031397,132417339,
sz000002,万科Ａ,23/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.48,-0.056296,197838372,
sz000002,万科Ａ,22/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,27,0.096669,356745679,金叉
sz000002,万科Ａ,21/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.62,0.042337,222750209,
sz000002,万科Ａ,20/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.62,-0.000423,62565662,
sz000002,万科Ａ,19/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.63,0.00212,58683788,
sz000002,万科Ａ,14/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.58,0,78557476,
sz000002,万科Ａ,13/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.58,0.003404,88741809,
sz000002,万科Ａ,12/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.5,0.014243,137974564,
sz000002,万科Ａ,09/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.17,-0.019052,88429677,
sz000002,万科Ａ,08/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.62,0.015041,142468390,
sz000002,万科Ａ,07/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.27,-0.002144,79453934,
sz000002,万科Ａ,06/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.32,-0.005119,98212851,
sz000002,万科Ａ,05/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.44,-0.013883,102887958,
sz000002,万科Ａ,02/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.77,0.014078,192507913,
sz000002,万科Ａ,01/09/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.44,-0.059767,256560340,
sz000002,万科Ａ,31/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.93,0.100177,238312574,
sz000002,万科Ａ,30/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,22.66,-0.010912,90926253,
sz000002,万科Ａ,29/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,22.91,0.000874,78244619,
sz000002,万科Ａ,26/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,22.89,-0.027613,120002409,
sz000002,万科Ａ,25/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.54,-0.018758,182137491,死叉
sz000002,万科Ａ,24/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,23.99,-0.028745,147067559,
sz000002,万科Ａ,23/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.7,0,169476322,
sz000002,万科Ａ,22/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.7,0.004473,179225292,
sz000002,万科Ａ,19/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.59,-0.038702,206991163,
sz000002,万科Ａ,18/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.58,-0.010445,413375208,
sz000002,万科Ａ,17/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.85,-0.062387,305482059,
sz000002,万科Ａ,16/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,27.57,0.10016,333478058,
sz000002,万科Ａ,15/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,25.06,0.100088,323110630,
sz000002,万科Ａ,12/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,22.78,0.099952,374870862,
sz000002,万科Ａ,11/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,20.71,-0.023113,158038796,
sz000002,万科Ａ,10/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,21.2,-0.035048,206323384,
sz000002,万科Ａ,09/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,21.97,0.004572,214689295,
sz000002,万科Ａ,08/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,21.87,0.043914,367338901,
sz000002,万科Ａ,05/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,20.95,0.065074,380072265,
sz000002,万科Ａ,04/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,19.67,0.100112,371346582,
sz000002,万科Ａ,03/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,17.88,0.015332,151555097,金叉
sz000002,万科Ａ,02/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,17.61,0.025626,160420956,
sz000002,万科Ａ,01/08/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,17.17,0.00175,127306209,
sz000002,万科Ａ,29/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,17.14,-0.003488,198686135,
sz000002,万科Ａ,28/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,17.92,0.028703,150746267,
sz000002,万科Ａ,27/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,17.42,-0.020247,147648626,
sz000002,万科Ａ,26/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,17.78,0.00452,149319656,
sz000002,万科Ａ,25/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,17.7,0.017826,235433919,
sz000002,万科Ａ,22/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,17.39,0.021739,233970928,
sz000002,万科Ａ,21/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,17.02,-0.003513,144470645,
sz000002,万科Ａ,20/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,17.08,-0.001753,230492242,
sz000002,万科Ａ,19/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,17.11,-0.018359,162775209,
sz000002,万科Ａ,18/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,17.43,-0.025713,156000437,
sz000002,万科Ａ,15/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,17.89,-0.003898,108255098,
sz000002,万科Ａ,14/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,17.96,-0.019651,167556929,
sz000002,万科Ａ,13/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,18.32,0.011038,254326166,
sz000002,万科Ａ,12/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,18.12,-0.00821,306482137,
sz000002,万科Ａ,11/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,18.27,-0.0256,241215118,
sz000002,万科Ａ,08/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,18.75,-0.003719,312443698,
sz000002,万科Ａ,07/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,18.82,-0.049495,430022552,
sz000002,万科Ａ,06/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,19.8,0.000505,1028372712,死叉
sz000002,万科Ａ,05/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,19.79,-0.100045,199057600,
sz000002,万科Ａ,04/07/2016,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,21.99,-0.099877,4266300,
sz000002,万科Ａ,18/12/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,24.43,0.099955,223898400,
sz000002,万科Ａ,17/12/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,22.21,0.10005,258339200,
sz000002,万科Ａ,16/12/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,20.19,-0.04222,118536300,
sz000002,万科Ａ,15/12/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,21.08,0.049801,167387600,
sz000002,万科Ａ,14/12/2015,含H股；融资融券；保障房；前海概念；保险重仓；QFII重仓；深圳本地；基金重仓；股权激励,20.08,0.009045,139219400,
